id,stream,action_date,fiscal_year,case_number,subject_as_published,company,provisions,provisions_as_published,penalty_amount,press_release_url,source_url
"shitauke-2026-07-24-0183","shitauke","2026-07-24","2026","","イリソ電子工業株式会社","イリソ電子工業株式会社","第4条第2項第3号","旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260724_irisodenshi.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-07-21-0184","shitauke","2026-07-21","2026","","ＨＯＹＡ株式会社","ＨＯＹＡ株式会社","第4条第2項第3号","旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260721_hoya.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-07-17-0185","shitauke","2026-07-17","2026","","ダイヤモンド電機株式会社","ダイヤモンド電機株式会社","第4条第2項第3号","旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260717_chugoku_toriteki.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-07-16-0186","shitauke","2026-07-16","2026","","天龍工業株式会社","天龍工業株式会社","第4条第1項第3号 / 第4条第2項第3号","(1)旧下請法第4条第1項第3号（下請代金の減額の禁止）(2)旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260716_chubu_toriteki_tenryu.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-07-10-0187","shitauke","2026-07-10","2026","","ミネベアアクセスソリューションズ株式会社","ミネベアアクセスソリューションズ株式会社","第4条第2項第3号","(1)旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止） (2) 取適法第５条第２項第２号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260710_kyuusyuu_toriteki.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-07-09-0188","shitauke","2026-07-09","2026","","株式会社タダノ","株式会社タダノ","第4条第2項第3号","旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260709_shikoku_toriteki.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-07-08-0189","shitauke","2026-07-08","2026","","株式会社ノーリツ","株式会社ノーリツ","第4条第2項第3号","旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jul/260708_kinki_toriteki.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-06-26-0190","shitauke","2026-06-26","2026","","株式会社ダイヘン","株式会社ダイヘン","第4条第2項第3号","旧下請法第4条第2項第3号（不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jun/260626_kinki_toriteki.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-06-23-0191","shitauke","2026-06-23","2026","","ＹＫＫ株式会社","ＹＫＫ株式会社","第4条第1項第5号","旧下請法第4条第1項第5号 （買いたたきの禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jun/260623_ykk.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-06-16-0192","shitauke","2026-06-16","2026","","アルプスアルパイン株式会社","アルプスアルパイン株式会社","第4条第1項第5号","旧下請法第4条第1項第5号 （買いたたきの禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jun/260616_alpsalpine.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-06-04-0193","shitauke","2026-06-04","2026","","株式会社ホンダ茨城南","株式会社ホンダ茨城南","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/jun/260604_hondacars-ibarakiminami.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-05-12-0194","shitauke","2026-05-12","2026","","琉球倉庫運輸株式会社","琉球倉庫運輸株式会社","第4条第1項第3号","旧下請法第4条第1項第3号 （下請代金の減額の禁止）","","https://www.jftc.go.jp/houdou/pressrelease/2026/may/260512_ryukyusoukounyu.html","https://www.jftc.go.jp/toriteki/toritekikankoku/R8FYkankoku.html"
"shitauke-2026-03-30-0195","shitauke","2026-03-30","2025","","矢崎部品株式会社","矢崎部品株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-26-0196","shitauke","2026-03-26","2025","","徳島トヨタ自動車株式会社","徳島トヨタ自動車株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-24-0197","shitauke","2026-03-24","2025","","富士通フロンテック株式会社","富士通フロンテック株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-17-0198","shitauke","2026-03-17","2025","","株式会社松尾製作所","株式会社松尾製作所","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-13-0199","shitauke","2026-03-13","2025","","日本トーカンパッケージ株式会社","日本トーカンパッケージ株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-10-0202","shitauke","2026-03-10","2025","","ＹＫＫ ＡＰ株式会社","ＹＫＫ ＡＰ株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-10-0201","shitauke","2026-03-10","2025","","株式会社ＹＫＫ ＡＰ沖縄","株式会社ＹＫＫ ＡＰ沖縄","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-03-10-0200","shitauke","2026-03-10","2025","","琉球ＹＫＫ ＡＰ工業株式会社","琉球ＹＫＫ ＡＰ工業株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-02-24-0203","shitauke","2026-02-24","2025","","株式会社ティラド","株式会社ティラド","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-02-20-0204","shitauke","2026-02-20","2025","","日産東京販売株式会社","日産東京販売株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-02-02-0205","shitauke","2026-02-02","2025","","株式会社長登屋","株式会社長登屋","第4条第1項第3号","旧下請法第4条第1項第3号 （下請代金の減額の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-01-15-0207","shitauke","2026-01-15","2025","","東芝産業機器システム株式会社","東芝産業機器システム株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
"shitauke-2026-01-15-0206","shitauke","2026-01-15","2025","","東芝ホクト電子株式会社","東芝ホクト電子株式会社","第4条第2項第3号","旧下請法第4条第2項第3号 （不当な経済上の利益の提供要請の禁止）","","","https://www.jftc.go.jp/toriteki/toritekikankoku/R7FYkankoku.html"
